Parameter,Image1,Image2,Image3
-1.832e7,264,133,8
-1.8315e7,264,136,5
-1.831e7,264,130,1
-1.8305e7,264,126,12
-1.83e7,264,130,7
-1.8295e7,264,128,7
-1.829e7,264,127,11
-1.8285e7,264,129,6
-1.828e7,264,133,8
-1.8275000000000004e7,264,131,10
-1.827e7,264,138,1
-1.8265e7,264,122,3
-1.826e7,264,132,3
-1.8255000000000004e7,264,138,5
-1.825e7,264,121,3
-1.8245e7,264,115,2
-1.8240000000000004e7,264,149,3
-1.8235e7,264,143,4
-1.823e7,264,131,6
-1.8225e7,264,131,6
-1.8220000000000004e7,264,121,8
-1.8215e7,264,132,4
-1.821e7,264,123,2
-1.8205e7,264,120,2
-1.8200000000000004e7,264,134,2
-1.8195e7,264,131,4
-1.819e7,264,114,3
