Parameter,Image1,Image2,Image3
1.0,546,311,5
2.0,546,309,6
3.0,546,310,14
4.0,546,319,50
5.0,546,288,123
6.0,546,308,173
7.0,546,310,120
8.0,546,299,40
9.0,546,298,13
10.0,546,330,4
11.0,546,313,8
12.0,546,302,6
13.0,546,301,3
14.0,546,289,11
15.0,546,283,11
16.0,546,302,12
17.0,546,323,31
18.0,546,283,30
19.0,546,295,11
20.0,546,311,6
21.0,546,314,6
22.0,546,322,5
23.0,546,304,6
24.0,546,307,3
25.0,546,292,11
26.0,546,291,12
27.0,546,305,56
28.0,546,296,124
29.0,546,307,131
30.0,546,306,114
31.0,546,313,52
32.0,546,296,8
33.0,546,310,4
34.0,546,305,4
35.0,546,296,5
36.0,546,310,6
37.0,546,305,3
38.0,546,305,9
39.0,546,315,17
40.0,546,294,12
41.0,546,326,4
42.0,546,316,1
43.0,546,318,4
44.0,546,290,6
