Parameter,Image1,Image2,Image3
1.0,482,277,9
2.0,482,271,22
3.0,482,267,19
4.0,482,287,14
5.0,482,266,67
6.0,482,275,151
7.0,482,253,180
8.0,482,274,113
9.0,482,268,25
10.0,482,272,21
11.0,482,260,38
12.0,482,274,14
13.0,482,275,18
14.0,482,262,13
15.0,482,276,4
16.0,482,267,19
17.0,482,288,10
18.0,482,268,15
19.0,482,281,38
20.0,482,280,23
21.0,482,290,11
22.0,482,251,12
23.0,482,281,3
24.0,482,276,13
25.0,482,276,6
26.0,482,287,10
27.0,482,259,2
28.0,482,264,10
29.0,482,289,4
30.0,482,250,4
31.0,482,277,8
32.0,482,267,4
33.0,482,269,7
34.0,482,268,7
35.0,482,274,9
36.0,482,276,14
37.0,482,277,3
38.0,482,280,4
39.0,482,277,6
40.0,482,277,6
41.0,482,282,7
42.0,482,261,13
43.0,482,277,21
44.0,482,251,15
45.0,482,269,23
46.0,482,269,41
47.0,482,275,132
48.0,482,287,155
49.0,482,284,108
50.0,482,258,39
51.0,482,285,11
52.0,482,268,13
53.0,482,274,13
54.0,482,253,7
55.0,482,269,5
56.0,482,251,11
57.0,482,260,11
58.0,482,277,18
59.0,482,272,9
60.0,482,262,5
61.0,482,284,10
62.0,482,274,1
63.0,482,287,4
64.0,482,256,5
65.0,482,258,3
66.0,482,268,4
67.0,482,270,7
68.0,482,276,2
69.0,482,281,5
70.0,482,267,6
71.0,482,259,3
72.0,482,251,5
73.0,482,264,6
74.0,482,268,5
75.0,482,270,5
76.0,482,278,3
77.0,482,286,4
78.0,482,265,4
79.0,482,273,6
80.0,482,270,2
81.0,482,265,5
82.0,482,260,3
83.0,482,290,3
84.0,482,269,4
85.0,482,270,5
86.0,482,256,1
87.0,482,298,14
88.0,482,274,16
89.0,482,274,11
90.0,482,275,17
91.0,482,278,14
92.0,482,258,20
93.0,482,267,17
94.0,482,263,15
95.0,482,296,19
96.0,482,265,33
97.0,482,258,75
98.0,482,273,115
99.0,482,254,129
100.0,482,276,172
101.0,482,255,137
102.0,482,270,100
103.0,482,291,9
104.0,482,276,8
105.0,482,249,3
106.0,482,274,8
107.0,482,276,7
108.0,482,263,7
109.0,482,270,9
110.0,482,265,10
111.0,482,256,6
112.0,482,280,11
113.0,482,276,10
114.0,482,282,11
115.0,482,263,15
116.0,482,251,22
117.0,482,271,32
118.0,482,260,41
119.0,820,460,81
120.0,820,452,77
121.0,820,461,59
122.0,820,451,43
123.0,820,461,27
124.0,820,465,20
125.0,820,473,20
126.0,820,475,28
127.0,820,443,17
128.0,820,448,13
