Parameter,Image1,Image2,Image3
-1.86e7,160,89,17
-1.8595000000000004e7,160,94,24
-1.859e7,160,100,7
-1.8585e7,160,84,11
-1.858e7,160,85,3
-1.8575000000000004e7,160,95,8
-1.857e7,160,90,10
-1.8565e7,160,81,22
-1.8560000000000004e7,160,86,40
-1.8555e7,160,85,50
-1.855e7,160,91,58
-1.8545e7,160,84,43
-1.8540000000000004e7,160,71,38
-1.8535e7,160,94,27
-1.853e7,160,90,17
-1.8525000000000004e7,160,83,13
-1.852e7,160,89,13
-1.8515e7,160,89,11
-1.851e7,160,83,7
-1.8505000000000004e7,160,85,9
-1.85e7,160,84,17
-1.8495e7,160,85,35
-1.8490000000000004e7,160,91,48
-1.8485e7,160,73,31
-1.848e7,160,86,32
-1.8475e7,160,76,23
-1.8470000000000004e7,160,75,13
-1.8465e7,160,87,10
-1.846e7,160,78,8
-1.8455e7,160,91,12
-1.845e7,160,91,14
-1.8445e7,160,83,8
-1.844e7,160,85,21
-1.8435000000000004e7,160,91,32
-1.843e7,160,86,40
-1.8425e7,160,86,51
-1.842e7,160,80,46
-1.8415e7,160,91,44
-1.841e7,160,83,40
-1.8405e7,160,84,20
-1.8400000000000004e7,160,85,11
-1.8395e7,160,79,2
-1.839e7,160,90,6
-1.8385e7,160,90,9
-1.838e7,160,70,10
-1.8375e7,160,92,10
-1.837e7,160,89,14
-1.8365000000000004e7,160,89,15
-1.836e7,160,76,11
-1.8355e7,160,88,23
-1.835e7,160,79,17
-1.8345e7,160,92,12
-1.834e7,160,87,13
-1.8335e7,160,84,7
-1.833e7,160,86,7
-1.8325e7,160,94,5
-1.832e7,160,86,0
