Parameter,Image1,Image2,Image3
1.0,444,239,2
2.0,444,235,5
3.0,444,261,11
4.0,444,239,37
5.0,444,235,102
6.0,444,237,152
7.0,444,252,109
8.0,444,252,28
9.0,444,239,5
10.0,444,262,3
11.0,444,232,2
12.0,444,265,2
13.0,444,239,0
14.0,444,230,2
15.0,444,251,3
16.0,444,257,9
17.0,444,249,18
18.0,444,253,30
19.0,444,240,14
20.0,444,235,5
21.0,444,254,1
22.0,444,231,2
23.0,444,244,3
24.0,444,241,1
25.0,444,259,5
26.0,444,250,7
27.0,444,240,6
28.0,444,253,13
29.0,444,239,5
30.0,444,264,1
31.0,444,246,1
32.0,444,251,3
33.0,444,254,1
34.0,444,252,3
35.0,444,238,5
36.0,444,240,5
37.0,444,238,19
38.0,444,246,69
39.0,444,251,116
40.0,444,250,97
41.0,444,240,54
42.0,444,243,17
43.0,444,239,1
44.0,444,246,0
45.0,444,249,0
46.0,444,252,0
47.0,444,235,2
48.0,444,239,4
49.0,444,251,3
50.0,444,238,11
51.0,444,248,5
52.0,444,228,3
53.0,444,257,1
54.0,444,233,0
55.0,444,258,1
56.0,444,256,2
57.0,444,255,0
58.0,444,233,1
59.0,444,245,1
60.0,444,235,2
61.0,444,247,4
62.0,444,237,3
63.0,444,251,4
64.0,444,242,1
65.0,444,255,1
66.0,444,254,2
89.0,444,249,0
90.0,444,231,0
91.0,444,230,2
92.0,444,246,0
93.0,444,239,2
94.0,444,266,1
95.0,444,240,2
96.0,444,259,1
97.0,444,242,1
98.0,444,246,0
99.0,444,267,1
100.0,444,246,6
101.0,444,253,0
102.0,444,248,3
103.0,444,241,0
104.0,444,237,2
105.0,444,239,2
106.0,444,244,2
107.0,444,242,4
108.0,444,266,1
109.0,444,245,0
110.0,444,236,2
111.0,444,227,1
112.0,444,239,0
113.0,444,247,0
114.0,444,234,3
115.0,444,247,1
116.0,444,255,0
117.0,444,251,2
118.0,444,261,0
119.0,444,237,5
120.0,444,245,2
121.0,444,219,2
122.0,444,255,0
123.0,444,250,3
124.0,444,266,1
125.0,444,248,1
126.0,444,244,2
127.0,444,255,4
128.0,444,254,0
129.0,444,251,2
130.0,444,251,2
131.0,444,258,3
132.0,444,251,1
133.0,444,251,4
134.0,444,251,2
135.0,444,266,0
136.0,444,253,1
137.0,444,237,2
138.0,444,245,1
139.0,444,245,3
140.0,444,255,223
