Parameter,Image1,Image2,Image3
-1.859e7,348,178,1
-1.8588e7,348,190,3
-1.8586e7,348,186,2
-1.8584e7,348,184,5
-1.8582e7,348,179,5
-1.858e7,348,192,4
-1.8578e7,348,193,3
-1.8576e7,348,176,2
-1.8574e7,348,186,4
-1.8572e7,348,161,8
-1.857e7,348,180,5
-1.8568e7,348,199,6
-1.8566e7,348,189,10
-1.8564e7,348,175,5
-1.8562e7,348,175,15
-1.856e7,348,181,22
-1.8558e7,348,179,25
-1.8556e7,348,186,48
-1.8554e7,348,182,49
-1.8552e7,348,183,51
-1.855e7,348,187,46
-1.8548e7,348,175,31
-1.8546e7,348,178,21
-1.8544e7,348,196,10
-1.8542e7,348,184,12
-1.854e7,348,191,8
-1.8538e7,348,183,5
-1.8536e7,348,176,5
-1.8534e7,348,177,5
-1.8532e7,348,193,8
-1.853e7,348,184,5
-1.8528e7,348,193,5
-1.8526e7,348,201,6
-1.8524e7,348,182,5
-1.8522e7,348,185,7
-1.852e7,348,176,7
-1.8518e7,348,195,7
-1.8516e7,348,188,3
-1.8514e7,348,194,6
-1.8512e7,348,183,6
-1.851e7,348,175,3
-1.8508e7,348,181,5
-1.8506e7,348,183,7
-1.8504e7,348,170,13
-1.8502e7,348,190,19
-1.85e7,348,177,7
-1.8498e7,348,178,9
-1.8496e7,348,177,9
-1.8494e7,348,181,9
-1.8492e7,348,172,24
-1.849e7,348,175,46
-1.8488e7,348,183,76
-1.8486e7,348,193,95
-1.8484e7,348,175,94
-1.8482e7,348,197,62
-1.848e7,348,210,59
-1.8478e7,348,181,20
-1.8476e7,348,195,10
-1.8474e7,348,183,1
-1.8472e7,348,189,5
-1.847e7,348,203,13
-1.8468e7,348,167,20
-1.8466e7,348,184,15
-1.8464e7,348,201,11
-1.8462e7,348,180,2
-1.846e7,348,182,3
-1.8458e7,348,182,7
-1.8456e7,348,188,8
-1.8454e7,348,171,6
-1.8452e7,348,200,6
-1.845e7,348,178,4
-1.8448e7,348,178,3
-1.8446e7,348,178,3
-1.8444e7,348,189,4
-1.8442e7,348,206,5
-1.844e7,348,204,7
-1.8438e7,348,189,3
-1.8436e7,348,198,6
-1.8434e7,348,186,3
-1.8432e7,348,183,3
-1.843e7,348,175,2
-1.8428e7,348,174,5
-1.8426e7,348,172,7
-1.8424e7,348,176,9
-1.8422e7,348,165,7
-1.842e7,348,174,8
-1.8418e7,348,180,11
-1.8416e7,348,176,11
-1.8414e7,348,172,12
-1.8412e7,348,185,11
-1.841e7,348,178,7
-1.8408e7,348,190,4
-1.8406e7,348,186,2
-1.8404e7,348,195,1
-1.8402e7,348,187,5
-1.84e7,348,181,6
-1.8398e7,348,186,1
-1.8396e7,348,186,4
-1.8394000000000004e7,348,200,3
-1.8392e7,348,188,6
-1.839e7,348,182,3
-1.8388e7,348,194,5
-1.8386e7,348,176,4
-1.8384e7,348,177,2
-1.8382e7,348,172,3
-1.838e7,348,188,2
-1.8378e7,348,194,5
-1.8376e7,348,184,1
-1.8374e7,348,180,4
-1.8372e7,348,189,0
-1.837e7,348,173,2
-1.8368e7,348,173,1
-1.8366e7,348,180,1
-1.8364e7,348,161,4
-1.8362000000000004e7,348,186,3
-1.836e7,348,198,9
-1.8358e7,348,172,4
-1.8356e7,348,196,4
-1.8354e7,348,177,7
-1.8352e7,348,210,7
-1.835e7,348,174,6
-1.8348e7,348,185,7
-1.8346e7,348,183,1
-1.8344e7,348,182,8
-1.8342e7,348,184,2
-1.834e7,348,198,5
-1.8338e7,348,173,3
-1.8336e7,348,180,7
-1.8334e7,348,172,4
-1.8332e7,348,178,3
-1.833e7,348,177,3
-1.8328e7,348,179,3
-1.8326e7,348,180,3
-1.8324e7,348,178,3
-1.8322e7,348,186,4
-1.832e7,348,174,2
