Parameter,Image1,Image2,Image3
1.0,294,152,2
2.0,294,161,1
3.0,294,160,10
4.0,294,150,46
5.0,294,142,91
6.0,294,159,96
7.0,294,168,70
8.0,294,166,19
9.0,294,161,4
10.0,294,152,1
11.0,294,148,1
12.0,294,162,0
13.0,294,170,0
14.0,294,170,1
15.0,294,150,7
16.0,294,157,9
17.0,294,162,18
18.0,294,166,11
19.0,294,149,5
20.0,294,168,1
21.0,294,183,0
22.0,294,168,1
23.0,294,162,1
24.0,294,163,2
25.0,294,172,2
26.0,294,158,5
27.0,294,158,19
28.0,294,137,43
29.0,294,173,65
30.0,294,171,50
31.0,294,157,28
32.0,294,163,6
33.0,294,148,4
34.0,294,146,1
35.0,294,159,2
36.0,294,155,2
37.0,294,161,5
38.0,294,162,5
39.0,294,138,4
40.0,294,164,4
41.0,294,153,1
42.0,294,169,4
43.0,294,143,0
44.0,294,154,2
45.0,294,160,35
46.0,294,164,52
47.0,294,157,64
48.0,294,173,69
49.0,294,152,77
50.0,294,164,89
51.0,294,164,97
52.0,294,164,92
53.0,294,170,99
54.0,294,164,90
55.0,294,147,61
56.0,294,155,64
57.0,294,158,62
58.0,294,158,39
59.0,294,152,28
60.0,294,165,20
61.0,294,163,4
62.0,294,170,5
63.0,294,171,9
64.0,294,161,4
65.0,294,160,7
66.0,294,155,7
67.0,294,147,3
68.0,294,151,6
69.0,294,157,5
70.0,294,168,5
71.0,294,168,8
72.0,294,160,5
73.0,294,151,5
74.0,294,182,4
75.0,294,157,0
76.0,294,152,3
77.0,294,172,26
78.0,294,158,43
79.0,294,165,73
80.0,294,167,91
81.0,294,148,98
82.0,294,156,109
83.0,294,155,123
84.0,294,164,106
85.0,294,154,89
86.0,294,156,92
87.0,294,153,73
88.0,294,154,16
89.0,294,168,34
90.0,294,154,38
91.0,294,148,57
92.0,294,168,87
93.0,294,181,108
94.0,294,157,97
95.0,294,155,105
96.0,294,159,117
97.0,294,153,112
98.0,294,174,109
99.0,294,151,39
100.0,294,160,53
101.0,294,170,81
102.0,294,171,97
103.0,294,166,110
104.0,294,168,112
105.0,294,165,123
106.0,294,160,122
107.0,294,149,105
108.0,294,169,114
109.0,294,165,96
110.0,294,154,77
111.0,294,171,72
112.0,294,146,10
113.0,294,178,40
114.0,294,162,71
115.0,294,154,102
116.0,294,159,128
117.0,294,155,134
118.0,294,160,114
119.0,294,154,94
120.0,294,177,65
121.0,294,163,34
122.0,294,158,5
123.0,294,133,2
124.0,294,172,1
125.0,294,179,2
126.0,294,138,2
127.0,294,163,2
128.0,294,157,6
129.0,294,166,3
130.0,294,168,1
131.0,294,162,0
132.0,294,166,0
133.0,294,165,1
