-20.0,280,172,26
-18.0,280,161,36
-16.0,280,167,30
-14.0,280,181,30
-12.0,280,169,21
-10.0,280,170,18
-8.0,280,180,22
-6.0,280,174,21
-4.0,280,164,23
-2.0,280,160,18
0.0,280,181,20
2.0,280,175,30
4.0,280,170,40
6.0,280,168,43
8.0,280,165,49
10.0,280,176,43
12.0,280,183,42
14.0,280,163,38
16.0,280,168,38
18.0,280,166,33
20.0,280,165,30
22.0,280,169,29
24.0,280,172,25
26.0,280,170,23
28.0,280,171,18
30.0,280,168,30
32.0,280,171,29
34.0,280,162,42
36.0,280,167,39
38.0,280,173,42
40.0,280,158,33
42.0,280,172,49
44.0,280,166,27
46.0,280,173,32
48.0,280,170,16
50.0,280,173,27
52.0,280,161,26
54.0,280,168,17
56.0,280,159,23
58.0,280,171,47
60.0,280,177,49
62.0,280,151,38
64.0,280,189,54
66.0,280,170,36
68.0,280,164,38
70.0,280,175,31
72.0,280,185,26
74.0,280,185,28
76.0,280,184,30
78.0,280,167,21
80.0,280,160,17
82.0,280,177,17
84.0,280,179,33
86.0,280,168,33
88.0,280,173,39
90.0,280,170,38
92.0,280,182,44
94.0,280,179,27
96.0,280,150,23
98.0,280,171,26
100.0,280,161,12
